,close,volume
2019-12-19,4027.15,11790055800.0
2019-12-20,4017.25,12126766200.0
2019-12-23,3967.1,12281624600.0
2019-12-24,3992.96,9598904500.0
2019-12-25,3990.87,9493889000.0
2019-12-26,4025.99,10886064000.0
2019-12-27,4022.03,15092641100.0
2019-12-30,4081.63,15597148800.0
2019-12-31,4096.58,12326425800.0
2020-01-02,4152.24,18211677200.0
2020-01-03,4144.96,14282624400.0
2020-01-06,4129.3,17530995300.0
2020-01-07,4160.23,13948903100.0
2020-01-08,4112.32,16758585000.0
2020-01-09,4164.37,13688632400.0
2020-01-10,4163.18,11303171900.0
2020-01-13,4203.99,11969198200.0
2020-01-14,4189.89,12932078300.0
2020-01-15,4166.73,10463313600.0
2020-01-16,4149.04,10026764200.0
2020-01-17,4154.85,9872568200.0
2020-01-20,4185.83,12240914700.0
2020-01-21,4114.31,13052750700.0
2020-01-22,4131.93,12675876300.0
2020-01-23,4003.9,16035760300.0
2020-02-03,3688.36,15755964700.0
2020-02-04,3785.64,21393332800.0
2020-02-05,3828.53,17492552400.0
2020-02-06,3899.78,17646223500.0
2020-02-07,3899.87,15173175900.0
2020-02-10,3916.01,14840696900.0
2020-02-11,3952.46,14344167400.0
2020-02-12,3984.43,12671032100.0
2020-02-13,3959.92,14500184300.0
2020-02-14,3987.73,14323980300.0
2020-02-17,4077.42,18277896900.0
2020-02-18,4057.51,16323622000.0
2020-02-19,4051.31,16904644100.0
2020-02-20,4144.66,21223262400.0
2020-02-21,4149.49,21721360400.0
2020-02-24,4132.84,21286930300.0
2020-02-25,4123.85,24416783100.0
2020-02-26,4073.02,26109406100.0
2020-02-27,4084.88,18129098100.0
2020-02-28,3940.05,23027509300.0
2020-03-02,4069.67,21931355900.0
2020-03-03,4091.36,21936977700.0
2020-03-04,4115.05,18242473000.0
2020-03-05,4206.73,23182311500.0
2020-03-06,4138.51,17247571700.0
2020-03-09,3997.13,20810203500.0
2020-03-10,4082.73,19741640200.0
2020-03-11,4028.43,16165611100.0
